"Class","edp_0","edp_1","edp_2","edp_3","edp_4","edp_5","edp_6","edp_7","edp_8","edp_9","edp_10","edp_11","edp_12","edp_13","edp_14","edp_15","edp_16","edp_17","edp_18","edp_19"
1,2.661863711,3.07992610837,2.97582101806,3.55406403941,3.22032019704,2.79532019704,3.57302955665,3.36834975369,2.73579638752,3.28994252874,2.93222495895,3.04240558292,2.82327586207,3.19220032841,3.18382594417,2.44651067323,2.51929392447,4.12750410509,2.89716748768,2.78087027915
1,1.51579254079,1.84277389277,1.82733100233,2.18141025641,2.42966200466,1.63898601399,1.95198135198,2.09335664336,2.0458041958,1.95227272727,1.76526806527,1.81707459207,1.73636363636,2.00029137529,1.97657342657,1.41282051282,1.40425407925,3.09766899767,1.9298951049,1.62814685315
1,2.29664310954,2.49717314488,2.61802120141,3.12756183746,2.95671378092,2.13586572438,2.84072438163,2.69434628975,2.87067137809,2.46431095406,2.33136042403,2.54284452297,2.63109540636,2.72862190813,2.95856890459,1.84832155477,1.76634275618,3.86121908127,2.46492932862,2.35927561837
1,2.3414893617,2.47526595745,2.62508865248,2.9375,2.95638297872,2.15957446809,2.81604609929,2.66427304965,2.81258865248,2.57234042553,2.41374113475,2.56719858156,2.66471631206,2.78093971631,2.84583333333,1.87535460993,1.73093971631,4.06285460993,2.33971631206,2.39290780142
1,2.15914948454,2.21301546392,2.33500859107,2.59832474227,2.59892611684,1.85889175258,2.4829467354,2.51043814433,2.64961340206,2.40579896907,2.19841065292,2.32255154639,2.41018041237,2.45700171821,2.62332474227,1.72590206186,1.64016323024,3.45012886598,2.19377147766,2.25287800687
1,1.5067739521,1.88574101796,2.0438997006,2.26171407186,2.72877994012,1.60145958084,1.70984281437,2.10205838323,2.29883982036,1.99307634731,1.81201347305,1.7057260479,2.05744760479,2.15991766467,2.13888473054,1.39973802395,1.43431886228,3.5942739521,1.95340568862,1.77496257485
1,1.51925770308,1.90707282913,2.03837535014,2.23487394958,2.67177871148,1.57773109244,1.72233893557,2.0074929972,2.19929971989,2.08718487395,1.78970588235,1.70049019608,2.10882352941,2.25035014006,2.11946778711,1.43669467787,1.45854341737,3.46169467787,2.01904761905,1.84082633053
1,1.59413580247,2.0554526749,2.09840534979,2.35694444444,2.58497942387,1.91676954733,1.90699588477,2.16100823045,2.38482510288,1.93904320988,1.87998971193,1.84917695473,1.96378600823,2.39012345679,2.61347736626,1.5375,1.62319958848,3.56188271605,2.15658436214,1.79027777778
1,1.59736580517,2.04338966203,2.10452286282,2.37862823062,2.60641153082,1.95591451292,1.96068588469,2.1884194831,2.40392644135,2.05089463221,2.01237574553,1.87634194831,2.02365805169,2.61913518887,2.63325049702,1.60815109344,1.71545725646,3.4805666004,2.29055666004,1.84428429423
1,2.27458333333,2.6281547619,2.44720238095,3.10148809524,2.75732142857,2.37577380952,2.89458333333,2.83970238095,2.75803571429,3.13922619048,2.54696428571,2.82339285714,2.5331547619,2.80410714286,3.19017857143,2.02029761905,2.18422619048,4.34363095238,2.4056547619,2.24994047619
